#1		
double TFlow(25, 3)
0	343.15	333.15
3600	343.15	353.15
7200	343.15	353.15
10800	343.15	333.15
14400	343.15	333.15
18000	343.15	333.15
21600	343.15	333.15
25200	343.15	333.15
28800	343.15	333.15
32400	343.15	333.15
36000	343.15	333.15
39600	343.15	333.15
43200	343.15	333.15
46800	343.15	333.15
50400	343.15	333.15
54000	343.15	333.15
57600	343.15	333.15
61200	343.15	333.15
64800	343.15	333.15
68400	343.15	333.15
72000	343.15	333.15
75600	343.15	333.15
79200	343.15	333.15
82800	343.15	333.15
86400	343.15	333.15
